name,category,Address
H2O FITNESS CLUB,Gym,"1158, near Lane Number 2"
Anytime Fitness,Fitness center,"4th floor, 10 Biz Park, beside Symbiosis Law School Road"
Raise The Bar Fitness Center,Gym,"2nd Floor, Parmar Gallery, Jagtap Chowk, above Axis Bank"
i Train Fitness Gym,Gym,"Parmar Plaza, next to Inamdar Hospital, opposite Cycle World"
Hayat Fitness Gym,Gym,"1st floor, Riza corner, Chetna garden, 50/65, Lane Number 9"
Arjun Fitness (GYM),Fitness center,"Sant Gadage Maharaj Vasahat, 42, S Main Rd, near Ambika mata mandir"
Sfc unisex gym,Gym,"link road, Hinjewadi - Wakad Rd"
Nitrro Wellness And Fitness Hub,Gym,"Waterfront Society, Vithalrao Vandekar Rd"
WILDFIT-An Exclusive Nutrition & Personal Training Studio,Gym,"WISE, Building 2, Plot No. 44, Hindustan Estates, Road No. E, near Nilanjali Society"
XUMO Fitness,Fitness center,"Ground floor, Mahalaxmi Vihar Complex, Chowk, behind Bank of Maharashtra, next to Mahalaxmi Diagnostic Center"
Arjun Fitness (GYM),Fitness center,"Sant Gadage Maharaj Vasahat, 42, S Main Rd, near Ambika mata mandir"
Sfc unisex gym,Gym,"link road, Hinjewadi - Wakad Rd"
Nitrro Wellness And Fitness Hub,Gym,"Waterfront Society, Vithalrao Vandekar Rd"
WILDFIT-An Exclusive Nutrition & Personal Training Studio,Gym,"WISE, Building 2, Plot No. 44, Hindustan Estates, Road No. E, near Nilanjali Society"
XUMO Fitness,Fitness center,"Ground floor, Mahalaxmi Vihar Complex, Chowk, behind Bank of Maharashtra, next to Mahalaxmi Diagnostic Center"
OXOFIT PREMIUM FITNESS - Available on cult.fit,Gym,"Ruia Chambers, Amanora"
Ethos- Republic Of Strength,Gym,"1214, Road No. 4, near Pabalkar Hospital"
RM Fitness Studio,Gym,"4th floor, CT Survey no 20/21, opposite Mahadev Temple"
The Gym,Gym,"Ganga Home, Row House No.1/2, next to Bank Of India"
27 CrossthonFit pune,Gym,"Balgandharva Mandir Premises, 1204/4, Jangali Maharaj Rd"
Vibrant gym,Physical fitness program,"Sarvy no- 759/38, Kamal Manohar Basement, near Good Luck Cafe, near Suvarna Smruti Hall"
Symbiosis Fitness Centre,Gym,"GRXQ+QRG, Pune"
Evolve Fitness & Wellness Club,Gym,"Sixth Floor, One Place, Salunke Vihar Rd, above Third Wave Coffee"
Spa Fitness,Gym,"4th floor, Vikram Nandadeep Apartments, Senapati Bapat Rd, opposite Patrakar Nagar"
POWER HOUSE GYM & FITNESS STUDIO,Gym,"Second floor, Ganga Complex, society, opp. to business bay"
Cosmic Fitness Gym - Pune,Gym,"2nd Floor, Vatsalya Building, opposite Mountain High Hotel"
FIT N FINE FITNESS GYM,Gym,0
"Rising Fitness Club, Camp Branch",Fitness center,"2405 east street camp pune Above Sujata Mastani, Juna Pulgate, near Burger King, next to LIC building"
Gymlife (Gym &Cricket turf),Gym,Kapil Nagar St
"Urbounce Gym, Fergusson College Road Branch",Gym,"925, B4, Deendayal Hospital Lane Tukaram Paduka, Chowk, Fergusson College Rd"
